                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9364,                 4.5389,                 4.3773,                  0.003,                   0.88,                 0.0096,                0.00269,                 2.8884,                 4.0097,                 4.1584,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.0023,                 4.4157,                 4.5734,                0.00287,                   0.84,                0.01118,                0.00268,                 2.8892,                 4.0086,                  4.158,             0.00012614,             0.00012614,             0.00012614
                      3,                 2.8575,                 4.4233,                 4.3658,                0.00296,                   0.86,                0.01915,                0.00466,                  2.892,                 4.0048,                 4.1579,             0.00017644,             0.00017644,             0.00017644
                      4,                 2.8432,                 4.2798,                 4.3788,                0.00303,                   0.88,                0.01141,                0.00294,                 2.8973,                 4.0014,                 4.1585,              0.0002109,              0.0002109,              0.0002109
                      5,                 2.4882,                 3.9617,                 4.2451,                0.00303,                   0.88,                0.01127,                0.00277,                 2.8998,                 4.0013,                 4.1592,             0.00022952,             0.00022952,             0.00022952
                      6,                 2.4507,                 4.1168,                 4.2279,                0.00305,                   0.88,                0.01026,                 0.0027,                 2.9043,                  3.999,                 4.1608,              0.0002323,              0.0002323,              0.0002323
                      7,                  2.653,                 4.1973,                 4.1816,                0.00304,                   0.88,                0.01008,                0.00269,                 2.9109,                 3.9931,                 4.1632,             0.00021924,             0.00021924,             0.00021924
                      8,                 2.5942,                 3.9472,                 4.1411,                0.00305,                   0.88,                0.00974,                0.00265,                 2.9164,                 3.9889,                 4.1662,             0.00019034,             0.00019034,             0.00019034
                      9,                 2.5403,                 4.2275,                 4.2149,                0.00303,                   0.88,                0.01067,                0.00279,                 2.9235,                 3.9826,                 4.1692,              0.0001456,              0.0001456,              0.0001456
                     10,                 2.3905,                 4.1997,                 4.1328,                0.00302,                   0.88,                0.01137,                0.00284,                 2.9291,                 3.9782,                 4.1722,              8.502e-05,              8.502e-05,              8.502e-05
